Code;Name area;Number ;Full name;Address;Head;Phone code;Contact number;E-mail;Website;Russian language,amount OGE;Russian language,GPA OGE;Russian language,spravlyaemost OGE;Mathematics,amount OGE;Mathematics,GPA OGE;Mathematics,spravlyaemost OGE;Russian language,amount EGE;Russian language,GPA EGE;Russian language,spravlyaemost EGE;Mathematics profil,amount EGE;Mathematics profil,GPA EGE;Mathematics profil,spravlyaemost EGE;Mathematics base,amount EGE;Mathematics base,GPA EGE;Mathematics base,spravlyaemost EGE;Physics,amount EGE;Physics,GPA EGE;Physics,spravlyaemost EGE;Chemistry,amount EGE;Chemistry,GPA EGE;Chemistry,spravlyaemost EGE;Computer science,amount EGE;Computer science,GPA EGE;Computer science,spravlyaemost EGE;Biology,amount EGE;Biology,GPA EGE;Biology,spravlyaemost EGE;History,amount EGE;History,GPA EGE;History,spravlyaemost EGE;Geography,amount EGE;Geography,GPA EGE;Geography,spravlyaemost EGE;English,amount EGE;English,GPA EGE;English,spravlyaemost EGE;Social Studies,amount EGE;Social Studies,GPA EGE;Social Studies,spravlyaemost EGE;Literature,amount EGE;Literature,GPA EGE;Literature,spravlyaemost EGE;Lat;Long
760101;г. Ярославль;5;"Муниципальное общеобразовательное учреждение ""Средняя школа № 5 им.О.А.Варенцовой""";150060, Ярославская обл., г. Ярославль, ул. Туманова, д.10в;Петрова Ирина Валентиновна;4852;538395;yarsch005@yandex.ru;http://school5.edu.yar.ru;21;29,5;100;21;14;100;13;60,1;100;12;36,8;91,7;13;4,3;100;3;41,7;100;1;40;100;2;36,5;50;3;36,7;33,3;-;-;-;-;-;-;-;-;-;6;50,5;100;1;46;100;57.690578;39.767582
760102;г. Ярославль;10;"Муниципальное общеобразовательное учреждение ""Средняя школа № 10""";150060, Ярославская обл., г. Ярославль, ул. Туманова, д.18в;Теплов Сергей Васильевич;4852;538225;yarsch010@yandex.ru;http://school10yar.narod.ru;55;31,3;100;55;14;100;26;64,1;100;20;39,9;75;25;4,2;100;6;44;100;2;59;100;1;42;100;6;57,2;100;2;47,5;100;1;49;100;-;-;-;13;53,2;100;2;49;100;57.691819;39.765777
760103;г. Ярославль;11;"Муниципальное общеобразовательное учреждение ""Средняя школа № 11""";150052, Ярославская обл., г. Ярославль, ул. Громова, д.10а;Контров Николай Евгеньевич;4852;551785, 554033;yarsch11@yandex.ru;http://76202s011.edusite.ru;49;32,3;100;49;18,7;100;23;68,8;100;19;39,2;73,7;23;4,1;100;4;39,5;75;1;53;100;1;61;100;8;52,4;87,5;4;43,5;100;-;-;-;2;25,5;100;19;47,3;73,7;1;59;100;57.674305;39.779566
760104;г. Ярославль;17;"Муниципальное общеобразовательное учреждение ""Средняя школа № 17""";150019, Ярославская обл., г. Ярославль, Красноперевальский пер., д.4;Казанов Ярослав Валерьевич;4852;579735;yarsch017@yandex.ru;http://school17-yar.edusite.ru/;42;31,5;100;42;13,5;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.731162;39.767349
760105;г. Ярославль;26;"Муниципальное общеобразовательное учреждение ""Средняя школа № 26""";150033, Ярославская обл., г. Ярославль, ул. Блюхера, д.74;Дмитриева Любовь Валентиновна;4852;575463;yarsch026@yandex.ru;http://ярсош26.рф/;57;29,1;100;52;16,6;100;51;69,1;100;44;46,3;86,4;36;3,9;94,4;13;47,3;100;7;59,9;100;6;63;100;13;55,3;100;5;49,8;100;2;62,5;100;-;-;-;24;55,9;87,5;2;67,5;100;57.691944;39.799104
760106;г. Ярославль;27;"Муниципальное общеобразовательное учреждение ""Средняя школа № 27""";150052, Ярославская обл., г. Ярославль, ул. Труфанова, д.4;Волчихина Инна Валентиновна;4852;569694;yarsch027@yandex.ru;http://school27.edu.yar.ru;46;28,9;100;46;15,3;97,8;25;68,9;100;18;52,3;100;20;4,4;100;4;47,3;100;6;50,5;100;2;73,5;100;7;61,6;100;2;62,5;100;-;-;-;-;-;-;17;59,4;100;2;67,5;100;57.67931;39.78492
760107;г. Ярославль;29;"Муниципальное общеобразовательное учреждение ""Средняя школа № 29""";150061, Ярославская обл., г. Ярославль, Архангельский пр., д.13;Матвеев Алексей Владимирович;4852;554034;school029@yandex.ru;http://school29.edu.yar.ru;46;30,6;100;46;17,7;100;20;64;100;17;48,4;100;7;3,7;100;9;42,9;88,9;1;34;0;2;47,5;100;4;39,5;75;7;42,9;100;-;-;-;-;-;-;8;66,6;100;1;60;100;57.677982;39.769756
760108;г. Ярославль;99;"муниципальное общеобразовательное учреждение ""Средняя школа № 99""";150063, Ярославская обл., г. Ярославль, ул. Труфанова, д.25а;Белов Валерий Николаевич;4852;532395;yarsch034@yandex.ru;http://school99.edu.yar.ru;25;31,1;100;25;13,6;100;18;65,1;100;14;32,6;64,3;14;3,8;92,9;1;40;100;3;61,3;100;-;-;-;4;61,5;100;5;48,4;100;3;56;100;-;-;-;14;51,5;78,6;-;-;-;57.687187;39.758006
760109;г. Ярославль;39;"Муниципальное общеобразовательное учреждение ""Средняя школа № 39""";150044, Ярославская обл., г. Ярославль, ул. Урицкого, д.32а;Волкова Ольга Николаевна;4852;564004;yarsch039@yandex.ru;http://school39.edu.yar.ru;64;32,9;100;64;16,7;100;13;63,5;100;10;35,4;90;3;3,3;66,7;3;42;100;3;50;100;-;-;-;1;54;100;-;-;-;-;-;-;-;-;-;9;49,4;77,8;-;-;-;57.685647;39.796185
760110;г. Ярославль;55;"Муниципальное общеобразовательное учреждение ""Средняя школа № 55""";150061, Ярославская обл., г. Ярославль, ул. Громова, д.36;Боронова Анна Валерьевна;4852;563926;yarsch055@yandex.ru;http://s55.yar.fcior.edu.ru;72;30,1;100;73;15,8;100;22;77,3;100;20;58,4;95;18;4,4;100;6;51,5;100;3;64,7;100;3;53,7;100;3;57,7;100;7;52,6;100;-;-;-;5;64;80;12;60,8;100;2;64;100;57.680046;39.766181
760111;г. Ярославль;56;"муниципальное общеобразовательное учреждение ""Средняя школа № 56""";150064, Ярославская обл., г. Ярославль, ул. Моторостроителей, д.10;Озерова Татьяна Николаевна ;4852;561170;yarsch056@yandex.ru;http://school56.edu.yar.ru;65;32,3;100;65;18,8;100;27;69,6;100;20;50,4;95;27;4,3;100;7;49;100;2;55;100;4;66,3;100;4;52;100;2;43;100;-;-;-;-;-;-;13;51,8;92,3;1;63;100;57.626549;39.893885
760112;г. Ярославль;58;"Муниципальное общеобразовательное учреждение ""Средняя школа № 58 с углубленным изучением предметов естественно-математического цикла""";150064, Ярославская обл., г. Ярославль, ул. Труфанова, д.21а;Остапенко Ирина Сергеевна;4852;511130;yarsch058@yandex.ru;http://school58.edu.yar.ru;102;32,5;100;102;19,2;99;71;71;100;69;56,1;100;3;4;100;22;54,2;100;13;65,3;100;26;63,3;96,2;12;66,3;100;7;56,4;100;-;-;-;4;72,3;100;36;57,7;97,2;3;66;100;57.685806;39.76115
760113;г. Ярославль;60;"Муниципальное общеобразовательное учреждение ""Средняя школа № 60""";150018, Ярославская обл., г. Ярославль, ул. Б.Любимская, д.71;Саматоева Светлана Львовна;4852;539465;yarsch060@yandex.ru;http://school60.edu.yar.ru;22;32,1;100;22;16,3;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.718657;39.779323
760114;г. Ярославль;62;"Муниципальное общеобразовательное учреждение ""Средняя школа № 62""";150045, Ярославская обл., г. Ярославль, ул. Труфанова, д.16;Кокуева Татьяна Дмитриевна ;4852;550626;yarsch062@yandex.ru;http://school62.edu.yar.ru;49;32,2;100;49;18;100;27;61,3;96,3;25;34,6;64;21;3,8;95,2;1;56;100;1;24;0;5;50,6;80;10;37;50;3;37,7;66,7;1;54;100;1;50;100;20;47,2;65;-;-;-;57.682779;39.774769
760116;г. Ярославль;72;"Муниципальное общеобразовательное учреждение ""Средняя школа № 72""";150042, Ярославская обл., г. Ярославль, ул. Е.Колесовой, д.26;Курбанова Светлана Викторовна;4852;550283;sch072yar@yandex.ru;http://school72.edu.yar.ru;29;30,9;100;29;14,7;96,6;17;69;100;17;41,5;82,4;9;3,9;100;7;42,7;85,7;1;50;100;-;-;-;3;47,7;100;1;52;100;-;-;-;-;-;-;12;48,3;66,7;-;-;-;57.682269;39.807108
760117;г. Ярославль;80;"Муниципальное общеобразовательное учреждение ""Средняя школа № 80 с углубленным изучением английского языка""";150044, Ярославская обл., г. Ярославль, ул. Е.Колесовой, д.38;Хитрова Галина Владиславовна;4852;563588;yarsch080@yandex.ru;http://76202s080.edusite.ru;85;32,1;100;85;17,7;100;56;74,8;100;42;47,2;85,7;44;4,3;100;10;49,7;100;5;65,2;100;6;75,8;100;9;65,3;100;14;65,4;92,9;-;-;-;12;71,3;100;42;61,3;95,2;3;63,3;100;57.680523;39.802446
760118;г. Ярославль;81;"Муниципальное общеобразовательное учреждение ""Средняя школа № 81""";150042, Ярославская обл., г. Ярославль, ул. Блюхера, д.32а;Лежникова Ирина Витальевна;4852;550495;yarsch-081@yandex.ru;http://81.yarsch.com;37;31,9;100;37;13;97,3;23;69,1;100;22;38,7;77,3;20;4,1;100;6;55,5;100;-;-;-;-;-;-;6;50,7;100;2;61,5;100;-;-;-;-;-;-;18;49,7;72,2;-;-;-;57.68506;39.810989
760120;г. Ярославль;87;"Муниципальное общеобразовательное учреждение ""Средняя школа № 87""";150064, Ярославская обл., г. Ярославль, Ленинградский пр-т, д.68а;Важнова Ольга Геннадьевна;4852;543934;yarsch087@yandex.ru;http://shkola87.ru;67;31,7;100;67;15,6;98,5;27;72,1;100;26;59,9;100;1;4;100;8;49,6;100;2;58;100;1;68;100;2;56;100;1;71;100;-;-;-;3;83;100;20;61;95;3;59,7;100;57.697202;39.773152
760121;г. Ярославль;90;"Муниципальное общеобразовательное учреждение ""Средняя школа № 90""";150064, Ярославская обл., г. Ярославль, Ленинградский пр-т, д.64а;Куприянова Наталия Наримановна;4852;536555;yarsch090@yandex.ru;http://school90.edu.yar.ru;69;31;100;69;16,5;100;38;75,3;100;35;48,6;91,4;32;4,5;100;7;54,9;100;4;68,5;100;4;52,3;75;12;64,8;100;11;66,1;100;-;-;-;4;69,3;100;28;62;100;3;59,3;100;57.695552;39.777113
760125;г. Ярославль;2;"Муниципальное общеобразовательное учреждение ""Гимназия № 2""";150045, Ярославская обл., г. Ярославль, Ленинградский пр-т, д.87;Масленников Николай Васильевич;4852;550733;yargimn002@yandex.ru;http://gimn2.edu.yar.ru;82;34,1;100;82;21,9;100;113;79,3;100;75;68,7;100;45;4,6;100;8;54,3;100;13;81,2;100;18;69,2;100;14;73,9;100;40;71,2;100;-;-;-;15;81,8;100;82;73;100;7;59,9;100;57.684714;39.777886
760131;г. Ярославль;10;"Муниципальное общеобразовательное учреждение ""Санаторная школа-интернат № 10""";150018, Ярославская обл., г. Ярославль, ул. Д.Бедного, д.54;Кокин Владимир Викторович;4852;539565;yarschi010@yandex.ru;http://int10.edu.yar.ru;15;31,5;100;15;17,9;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.722488;39.778793
760201;г. Ярославль;2;"Муниципальное общеобразовательное учреждение ""Средняя школа № 2""";150055, Ярославская обл., г. Ярославль, пр-т Авиаторов, д.84;Семенова Лидия Павловна;4852;740304;yarsch002@yandex.ru;http://www.school2.yaroslavl.ru;92;30,9;100;92;16,4;96,7;58;71,4;100;56;47,2;89,3;37;4,1;100;5;43,6;80;6;56,8;100;7;68;100;9;53,9;88,9;10;53;100;-;-;-;4;70,8;100;51;60;94,1;1;78;100;57.651904;39.94067
760203;г. Ярославль;41;"муниципальное общеобразовательное учреждение ""Основная школа № 41""";150036, Ярославская обл., г. Ярославль, ул. Колышкина, д.46;Савина Валентина Анатольевна;4852;385561;yarsch041@yandex.ru;http://school41.edu.yar.ru;5;29,8;100;5;15,8;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.754009;39.805689
760204;г. Ярославль;46;"муниципальное общеобразовательное учреждение ""Основная школа № 46""";150007, Ярославская обл., г. Ярославль, ул. Маяковского, д.17а;Ермолаева Вера Васильевна;4852;247305;yarsch046@yandex.ru;http://school46.edu.yar.ru;10;33,5;100;10;13,8;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;57.634712;39.931821
